Name,Actual_PublishMonth,Predicted_PublishMonth
Stop & Think: The Seven Habits of Healthy Living,11,12
From Mandeville to Marx: The Genesis and Triumph of Economic Ideology,12,1
Can You Feel the Silence?: Van Morrison,10,6
Mercenary Companies and the Decline of Siena,5,5
"The Dark Elf Trilogy Collector's Edition (Forgotten Realms: Dark Elf Trilogy, #1-3; Legend of Drizzt, #1-3)",2,10
Beyond the Safe Zone,6,9
The Awakening and Selected Stories of Kate Chopin,4,1
Constructing International Relations: The Next Generation: The Next Generation,4,1
Judgment Calls (Samantha Kincaid #1),7,3
Tales from the Mos Eisley Cantina (Star Wars),7,11
Lighthouses of the Great Lakes: Your Ultimate Guide to the Region's Historic Lighthouses,10,10
"The Sands of Ammon (AlÃ©xandros, #2)",3,2
Troubling the Angels: Women Living with HIV/AIDS,7,12
"The Last Miles: The Music of Miles Davis, 1980-1991",3,2
"America's Secret War Against Bolshevism: U.S. Intervention in the Russian Civil War, 1917-1920",11,8
Hitler's Diaries: The Mind and God of Adolf Hitler,10,7
Dear Lover: A Woman's Guide to Enjoying Love's Deepest Bliss,6,5
Poetry for Young People: William Carlos Williams,9,10
Valley of Decision: The Siege of Khe Sanh,8,4
Twenty Drawings,3,11
Timescapes of Modernity: The Environment and Invisible Hazards,5,1
Ali und Nino,2,4
Mark Twain in Hawaii: Roughing It in the Sandwich Islands: Hawaii in the 1860s,6,12
"The Hour of the Cobra (Time-Travel Series, #2)",4,1
"Ready or Not, Here Life Comes",1,10
Phoenix Then and Now,6,10
The Breaking Jewel,1,10
47 Roses: A Story of Family Secrets and Enduring Love,6,6
"Gilbert Law Summaries: Legal Research, Writing and Analysis (Gilbert Law Summaries)",4,1
Rails Solutions: Ruby on Rails Made Easy,1,1
Byron: Don Juan (Eighteen Nineteen),11,1
The Richness of Life: The Essential Stephen Jay Gould,5,11
Frommer's Comprehensive Travel Guide: Budapest (Frommer's Budapest and the Best of Hungary),2,1
Kingsblood Royal,4,2
The Portrait of a Virtous Woman,11,4
No Redneck Left Behind: Facing the Real World After Gettin' Your Diploma,4,12
Irish on the Inside: In Search of the Soul of Irish America,6,9
Jumbo Easy Guitar Songbook,8,10
John Pecham and the Science of Optics: Perspectiva Communis,12,1
Personal Encryption Clearly Explained,6,1
Encyclopaedic History of the Sikhs and Sikhism,8,1
Cape Clear: New and Selected Poems,12,1
Gita on the Green: The Mystical Tradition Behind Bagger Vance,5,4
The Grapes of Wrath: Trouble in the Promised Land,4,11
Probiotics: Nature's Internal Healers,5,6
"Les Aventures de Jack Aubrey, tome 2",6,1
"French Defence: Steinitz, Classical and Other Variations",3,12
UFO Chronicles of the Soviet Union: A Cosmic Samizdat,2,2
The Reenchantment of Art,9,11
Flaubert's Parrot,11,8
Schaum's Easy Outline of Quantum Mechanics,10,9
Australian Birds of Prey: The Biology and Ecology of Raptors,1,1
Psychotic Reactions And Carburetor Dung,8,4
The Kidnapping of Christina Lattimore,3,9
Seeking the Truth in Love: The Church and Homosexuality,12,1
Scriptures and Meditations for Your Best Life Now,10,12
The World of George Sand,9,1
"Ark Angel (Alex Rider, #6)",4,1
Pol Pot's Little Red Book: The Sayings of Angkar,1,1
"Super Pop-Up Reports for American History: Complete How-To's, Project Ideas, and Reproducible Templates to Help Kids Showcase Their Research in Dazzling Way",3,9
"Beaded Macrame Jewelry: Stylish Designs, Exciting New Materials",8,6
Factory Made: Warhol and the Sixties,10,12
Spiritual Insights: Ishtopadesh and Samadhi Shatak,1,1
Conversations with Professor Y,7,2
The Labyrinth: Tarot,2,1
The Magazine: Everything You Need to Know to Make It in the Magazine Business,1,1
Topics in Interstellar Matter,9,1
Ernie Davis: The Elmira Express: The Story of a Heisman Trophy Winner,1,10
The Woody,10,10
"So Ask: Essays, Conversations, and Interviews",9,10
La Ãºltima noche que pasÃ© contigo,1,12
"Istanbul Express (Rendezvous With Destiny, #5)",10,8
How to Draw Hip Hop (Watson Guptill: How to Draw),3,9
"How To Meditate: An Anthology Of Talks On Meditation And ""Meditation: The Bridge Is Flowing But The River Is Not""",1,1
Comic Book Nation: The Transformation of Youth Culture in America,3,8
Imperial Designs: Neoconservatism and the New Pax Americana,9,9
Atrevete a SoÃ±ar: Y Luego Haz Tu Sueno Realidad: Lo Que La Gente Exitosa Sabe y Hace,5,1
The Complete Lewis Carroll (Collector's Library Editions),10,6
Mother Ireland: A Memoir,3,1
La dieta perfecta,10,11
The Year's Best Science Fiction: Sixteenth Annual Collection,6,5
The M1903 Springfield Rifle and Its Variations,4,8
"Ghost Riders: True Stories of Planes, Trains and Automobiles",10,1
L'invitÃ©e,5,10
La Boheme: Libretto,11,12
The Nine Ton Cat,12,8
Artifact of the System,7,3
Billabong Dreaming: An Australian Adventure,4,1
Stories for Young People: Edgar Allan Poe,8,1
Italian in Three Months (Hugo),6,3
Pacific Intertidal Life: A Guide to Organisms of Rocky Reefs and Tide Pools of the Pacific Coast,1,12
Albertina anda arriba: el abecedario / Albertina Goes Up: An Alphabet Book,2,3
Letters to Khatami: A Reply to the Iranian President's Call for a Dialogue Among Civilizations,12,1
A Walk in the Sky: The First Ascent of Hidden Peak,12,1
Hit a Grand Slam,4,12
When the Finch Rises,8,9
"Physics: Principles with Applications, Volume I: Chapters 1-15, 6th Edition",1,3
Technological Change and Economic Performance,4,1
"Cromartie High School, Vol. 07",8,6
Campion's Career: A Study of the Novels of Margery Allingham,1,1
A Question of Innocence,11,10
The Roman Army: The Legendary Soldiers Who Created an Empire,5,9
Nobody's Children: Jamaican Children in Police Detention and Government Institutions,7,1
Filming the Modern Middle East: Politics in the Cinemas of Hollywood and the Arab World,11,9
But the Gates Were Shut: Operation of Jerusalem's Perimeter Gates Within New Evidence and a New Methodology for Dating and Locating the Last Supper and Identifying the Bloved Disciple in John 13:25,1,1
"The Individual, Communication, and Society: Essays in Memory of Gregory Bateson",4,1
Green Iguana: The Ultimate Owner's Manual,5,10
The Plains Indians,1,1
"A Woman Named Damaris (Women of the West, #4)",8,6
Houses and Travellers,3,1
Das Silmarillion,6,5
"Arctic Rovings, Or, the Adventures of a New Bedford Boy on Sea and Land",12,1
Concise English-Chinese Dictionary,12,5
Loving Him without Losing You: How to Stop Disappearing and Start Being Yourself - Seven Empowering Strategies for Better Relationships,2,9
Loners: The Life Path of Unusual Children,11,2
The Reign of Greed,6,10
The Father Costume: Ben Marcus and Matthew Ritchie,5,6
Cakewalk Synthesizers: From Presets to Power User,11,1
Intraocular Tumors,1,1
As You Like It (No Fear Shakespeare),6,4
Cellular Basis of Chemical Messengers in the Digestive System,12,1
"Le DÃ©mon Des CaraÃ¯bes (Barbe-Rouge L'intÃ©grale, #1)",7,11
Neighborhood Animals (Baby Einstein),10,7
101 Secrets a Good Dad Knows,4,6
Henry Miller--The Paintings: A Centennial Retrospective,1,1
Men at the Crossroads: Beyond Traditional Roles and Modern Options,10,4
Matrix Reflections: Choosing between reality and illusion,4,12
"The United States Constitution: Two Hundred Years of Anti-Federalist, Abolitionist, Feminist, Muckraking, Progressive, and Especially Socialist Criticism",11,9
"Breast Cancer? Breast Health! The Wise Woman Way (Wise Woman Herbal Series, #4)",4,8
You Can Beat Prostate Cancer,7,9
"A Life Under Russian Serfdom: Memoirs Of Savva Dmitrievich Purlevskii, 1800 1868",1,9
O Albany!,9,12
Mommies Say Shhh!,3,2
"A Dangerous Beauty (Widows Club, #1)",5,10
My Sister Shahrazad: Tales from the Arabian Nights,9,2
Rightfully His,8,10
American Freedom and Catholic Power,11,3
Violence Against Lesbians and Gay Men,2,1
Suicide in the Entertainment Industry: An Encyclopedia of 840 Twentieth-Century Cases,1,12
Eight Plus One,11,11
Select Letters of Seneca,12,1
"Family, Sex and Marriage in England 1500-1800 (Abridged, no footnotes)",2,10
"Lily Quench and the Search for King Dragon (Lily Quench, #7)",2,11
Two Ravens: The Life and Teachings of a Spiritual Warrior,9,5
The Private Marjorie: The Love Letters of Marjorie Kinnan Rawlings to Norton S. Baskin,12,9
"Blast (Med Center, #4)",11,2
"Scale-Space Theory in Computer Vision: First International Conference, Scale-Space '97, Utrecht, the Netherlands, July 2 - 4, 1997, Proceedings",6,1
A Writer's Life,4,8
Social Experiments: Methods for Design and Evaluation,11,1
"Alley Life in Washington: Family, Community, Religion, and Folklife in the City, 1850-1970",9,1
Pulitzer: A Life,10,4
Applied Computational Fluid Dynamics Techniques: An Introduction Based on Finite Element Methods,8,1
"Haunted (The X-Files: Young Adult, #15)",10,11
Herodotus: Histories Book IX,5,1
"Little Soup's Birthday (Little Soup, #1)",11,1
Who Speaks for God?,11,4
Yearbook of International Environmental Law: Volume 5: 1994,1,1
Look for the Union Label: A History of the International Ladies' Garment Workers' Union,5,1
Fascination,7,1
"Mars, Volume 14",9,11
Complete Concrete,9,9
Philosophical Remarks,10,8
Little Krishna,11,9
Schools That Work: America's Most Innovative Public Education Programs,12,12
The Planet Pirates: Generation Warriors/Sassinak/The Death of Sleep,3,3
Crimson Stain,5,8
Aprende a contar con Babar,12,9
Younger Next Year: A Guide to Living Like 50 Until You're 80 and Beyond,1,9
"Holy Terror In The Hebrides (Dorothy Martin, #3)",12,12
Do the Whales Still Sing?: Library Edition,5,1
"Strikepoint (Stony Man, #9)",1,1
Not Far from the River: Poems from the Gatha-Saptasati,1,9
Politics of Modernism: Against the New Conformists,1,1
Up Against It: A Screenplay For The Beatles,10,1
The Way to Paradise,12,12
Library of Congress Law Library: An Illustrated Guide,1,11
Kingdom's Dream,7,1
Adler's Multiple Percussion Solos / Intermediate,3,1
The Resort,9,1
Special Forces Weapons & Equipment,1,1
Rudolf Hess: Prisoner of Peace - The Flight to Britain & Its Aftermath,12,1
No Dragons on My Quilt,10,12
From the Frontier: Outback Letters to Baldwin Spencer,1,1
Applied Petroleum Reservoir Engineering,1,1
Otto Hahn: Achievement and Responsibility,5,12
The Kids Book of World Religions,2,9
The Thirst for Annihilation: Georges Bataille and Virulent Nihilism,7,2
Dorothea Tanning: Insomnias: Paintings from 1954 to 1965,12,11
Bad Lands,6,3
Master Han's Daughter: Tales from Depraved Neotokyo,5,8
You Wouldn't Want to Be a Sumerian Slave!: A Life of Hard Labor You'd Rather Avoid,3,1
Do Tornadoes Really Twist?,11,6
Essentials of Diagnosis & Treatment in Surgery,2,12
"Cape Refuge (Cape Refuge, #1)",4,7
"Leyenda del Pincel Indio, La: The Legend of the Indian Paintbrush",4,6
Making Sense of Movies: Filmmaking in the Hollywood Style,5,1
"The Making of Modern Belize: Politics, Society and British Colonialism in Central America",11,1
The Wills Eye Hospital Atlas of Clinical Ophthalmology,12,1
Flourishing: Positive Psychology and the Life Well-Lived,12,1
The Little Book of Celtic Blessings,12,2
Kitab Jalinus Ila Ghalawqun Fi Al-Ta'atti Li-Shifa' Al-Amrad: Maqalatan,1,1
"The White Trilogy (Inspector Brant, #1, #2, #3)",12,1
Ma Rainey's Black Bottom,4,1
Gilbert & Sullivan for Singers: The Vocal Library Baritone/Bass,8,1
Fly-Fishing for Sharks: An Angler's Journey Across America,7,12
God is in the Small Stuff and It All Matters: Stop Worrying and Invite God Into the Details of Your Life,10,4
Christopher Durang Explains it All for You,1,1
Confessions of a Boyfriend Stealer,9,8
Literature and the Environment: A Reader on Nature and Culture,8,10
"Barbarians, Gentlemen and Players: A Sociological Study of the Development of Rugby Football",2,6
Hawkwood: The Diabolical Englishman,10,1
Jonathan Edwards: A Guided Tour of His Life and Thought,10,5
"Lord of Emperors (The Sarantine Mosaic, #2)",2,8
Managing Knock Your Socks Off Service,5,3
Philip Larkin: Subversive Writer,9,1
The Barrens,8,7
Trading Up: Potential And Performance In Non Formal Learning,9,12
Sand and Stars,12,6
The Israelis: Ordinary People in an Extraordinary Land,4,10
Afterlife Knowledge Guidebook: A Manual for the Art of Retrieval and Afterlife Exploration,5,5
Les dames de l'ElyseÌe : celles d'hier et de demain,1,1
"Salt River (Turner, #3)",12,4
Priceless Gifts,7,8
George Washington (Welcome Books: Real People),3,4
"From Caesar to the Mafia: Persons, Places and Problems in Italian Life",11,10
Penguins of the Galapagos,8,1
Vestibular and Neural Front,1,1
The Peanut Allergy Answer Book,8,10
Invincible Louisa: The Story of the Author of Little Women,10,2
Kids Write Right?: What You Need to Be a Writing Powerhouse,3,12
The Biggest Parade,8,3
"Aves, caza y huevos: TÃ©cnicas y recetas de la escuela de cocina mÃ¡s famosa del mundo",9,1
"Remember D-Day: The Plan, the Invasion, Survivor Stories",5,3
Shakespeare's Macbeth,10,11
All That Is Solid Melts Into Air: The Experience of Modernity,6,4
Dictionnaire Moet-Hachette Du Vin International,12,1
The Mixquiahuala Letters,3,1
What I Saw at the Revolution: A Political Life in the Reagan Era,10,8
Overcoming Anorexia Nervosa: A Clinically Proven Step-By-Step Program to Recovering on Your Own,2,9
Promises to the Dead,1,1
Karl Jaspers: Philosopher Among Philosophers,1,1
Encounters with the Archdruid,10,8
Chicken Soup For The Horse Lover's Soul: Inspirational Stories About Horses and the People Who Love Them,7,10
Wood and Other Materials,1,1
Stony Man VIII,8,2
Count Me a Rhyme: Animal Poems by the Numbers,2,11
"Historiam Ecclesiasticam Gentis Anglorum, Vol 1",2,11
Human Nature,5,12
The Anaesthesia Science Viva Book,7,3
Hallowed Ground: Golf's Greatest Places,1,9
Blackwell's Primary Care Essentials: Geriatrics 2e,1,1
Callaghan's Way,9,1
"Miscellanies by Henry Fielding, Esq: Volume Three, [jonathan Wild]",10,1
"Karen's Campout (Baby-Sitters Little Sister Super Special, #6)",7,12
The Feelings Book: The Care & Keeping of Your Emotions,9,4
Garbage and Recycling: Environmental Facts and Experiments,4,1
The Wonderful Wizard of Oz,10,7
"Iit 2002 Proceedings: Ion Implementation Technology: 2002 14th International Conference on Ion Implantation Technology Proceedings, Taos, New Mexico, USA, 22-27 September 2002",12,1
Rick Steves' London 2007 (Rick Steves' City and Regional Guides),12,5
Biomechanics In The Musculoskeletal System,12,1
Stevie Ray: Soul to Soul,9,1
Language of the Land: The Library of Congress Book of Literary Maps,12,9
The Family Circus Is Us,10,1
"In at the Death (Marcus Corvinus, #11)",9,5
E. B. White: Beyond Charlotte's Web and Stuart Little,7,1
"Yuppies Invade My House at Dinnertime: A Tale of Brunch, Bombs, and Gentrification in an American City",6,12
Strange and Unexplainable Deaths at the Hands of the Secret Government,4,10
When Pigs Fly: And Other Insightful Thoughts,2,1
Plantation Boy,1,8
The Masochistic Pleasures of Sentimental Literature,4,6
Sexual Problems of Adolescents in Institutions,1,1
Existir TodavÃ­a,9,6
Lanterns Across the Snow,9,3
Introduction to Quantum Computers,7,12
Betrayals (Brute Force),10,1
Medallions,2,5
Donorboy,8,6
Watchman Nee's Testimony,8,6
"Any Guy You Want (Turning Seventeen, #1)",12,7
A Requiem for Karl Marx,7,1
Studies in Hebrews,4,1
"Now Zoey's Alone (Making Out, #24)",5,1
Western Apache Language and Culture: Essays in Linguistic Anthropology,7,1
Macromedia Fireworks MX for Windows and Macintosh: Visual QuickStart Guide,10,1
Camille and the Sunflowers: A story about Vincent Van Gogh,10,3
World Mythology,10,12
"Bride of Lochbarr (Brothers in Arms, #1)",7,12
Promises Kept: Sustaining School and District Leadership in a Turbulent Era,2,12
"La hierba del diablo (La Torre Oscura, #1)",6,4
Let Me Go,8,10
Sonic Process,4,8
Jewish Wisdom: A Journal,6,1
The Structure of Social Science: A Philosophical Introduction,1,1
"A Bloomsbury Group Reader: The Methods, Ideals and Politics of Social Inquiry",12,11
Pinter's Odd Man Out: Staging and Filming Old Times,1,1
I Got It from the Cows,8,7
History of Reading in the West (Revised),8,8
Down And Out: The Life and Death of Minneapolisâ€™s Skid Row,9,3
Revenge at Lost Creek (The Trailsman #162),6,1
Yoga & Mysticism: An Introduction to Vedanta,2,11
A Guide to Elegance: For Every Woman Who Wants to Be Well and Properly Dressed on All Occasions,7,4
"Red, White, Black, and Blue: A Dual Memoir of Race and Class in Appalachia",1,1
Nostromo,12,11
L'Histoire de Pi,11,1
Narrative Design: A Writer's Guide to Structure,4,6
The Beautiful and the Damned: The Creation of Identity in Nineteenth-Century Photography,8,8
Foundations of 3D Graphics Programming: Using Jogl and Java3d,6,7
Queen Mary,12,10
When Life Gets Tough,2,9
"If You Only Knew (SVH Senior Year, #5)",6,11
"Andrew Lost In the Bathroom (Andrew Lost, #2)",7,10
The Scandal of Ulysses: The Life And Afterlife of a Twentieth Century Masterpiece,11,1
Lone Wolf: The Life and Death of U-Boat Ace Werner Henke,10,5
Boundary Element Methods in Manufacturing,4,1
The Book of Strangers: Mediaeval Arabic Graffiti on the Theme of Nostalgia,10,12
The Cinema of Federico Fellini,5,2
The Complete Geisha,8,2
Banking on the Brink: The Troubled Future of American Finance,1,1
The Smart Money Guide to Bargain Homes: How to Find and Buy Foreclosures,2,1
Embedded: Weapons of Mass Deception: How the Media Failed to Cover the War on Iraq,10,6
Battle of the Rosebud: Prelude to the Little Bighorn,1,6
"Birth and Evolution of Massive Stars and Stellar Groups: Proceedings of a Symposium Held in Dwingeloo, the Netherlands, 24 26 September 1984",11,1
Williamsburg (Images of America: New York),6,5
"Bad Behavior, People Problems, and Sticky Situations: A Toolbook for Managers and Team Leaders",1,1
Darwin's Radio (Darwin's Radio #1),3,3
"Vesuvius, A.D. 79: The Destruction of Pompeii and Herculaneum",11,1
Hunting and Gathering: An Urban Youth Survival Guide,10,1
Six Great Dialogues: Apology/Crito/Phaedo/Phaedrus/Symposium/The Republic,5,4
Ronald Reagan: A Life In Politics,7,6
"Discrete Structures, Logic, and Computability (Jones & Bartlett Computer Science)",5,1
Anne Bronte,1,1
A Dream Deferred: The Second Betrayal of Black Freedom in America,10,11
Coercion (Night Stalkers #2),7,12
Carlyle Simpson,8,9
Odysseus Polutropos,1,5
Ask Me Anything About the Presidents,2,3
Beverley Nichols: A Life,3,8
Nano-Surface Chemistry,9,1
The Short Story and You.,1,7
"Living Simply with Children: A Voluntary Simplicity Guide for Moms, Dads, and Kids Who Want to Reclaim the Bliss of Childhood and the Joy of Parenting",1,2
Philip Melanchthon (1497-1560) and the Commentary,10,1
The Benny Hill Story,12,5
Too Tough to Tame (Secret Sisters #2),11,11
"History of the Choctaw, Chickasaw and Natchez Indians",3,10
Zami: A New Spelling of My Name,1,11
Mysticism in American Literature,1,9
A Pioneer Sampler: The Daily Life of a Pioneer Family in 1840,3,1
The Lindbergh Baby Kidnapping in American History,1,4
The Tao Of Jesus: A Book Of Days For The Natural Year,12,8
The Fred Factor: How passion in your work and life can turn the ordinary into the extraordinary,4,7
Aesthetics,4,4
Zola and Film: Essays in the Art of Adaptation,4,12
.Net Security Programming,4,10
Working With You is Killing Me: Freeing Yourself from Emotional Traps at Work,3,4
Feminism and Addiction,1,1
Emotion in Action,9,8
"EMDR: The Breakthrough """"Eye Movement"""" Therapy For Overcoming Anxiety, Stress, And Trauma",4,7
Mobilizing Minds: Creating Wealth from Talent in the 21st Century Organization,6,5
Talking Dirty to the Gods,9,8
When Heroes Die,5,3
Essential Deer Hunting For Teens,9,9
Why Zebras Don't Get Ulcers,9,3
"Goosebumps Monster Edition #3 (Goosebumps, #10, #22, #32)",9,3
26 Big Things Small Hands Do,9,11
"The Death of Hope (Star Wars: Jedi Apprentice, #15)",10,2
Wordsuccess: Why and How to Express Yourself to the Good Life,1,10
Hernando de Soto,10,1
God Listens to Your Love: Prayers for Living with Animal Friends,12,12
God's Little Devotional Bible: The Entire Bible Arranged in 365 Daily Readings with Devotions,1,8
Point of Purchase: How Shopping Changed American Culture,3,2
Social Mindscapes: An Invitation to Cognitive Sociology (Revised),10,5
Screws,7,8
Nutcracker - Limited Edition,9,10
The Great Mosque of Damascus: Studies on the Makings of an Umayyad Visual Culture,10,3
"Empire and Information: Intelligence Gathering and Social Communication in India, 1780 1870",9,5
Not a Tame Lion: The Spiritual Legacy of C.S. Lewis,10,1
Paul and Virginia,5,4
Sun and Steel,4,8
Sixteen Letters from Oscar Wilde,1,1
The Crossroads Cafe,9,11
"The Lost Queen (Faerie Path, #2)",10,11
Weekend Adventure Getaways Yosemite Tahoe: Travel Info and Outdoor Fun,4,1
Kernel Methods in Computational Biology,7,1
Readymade CVs,3,12
They Loved the Torah: What Yeshua's First Followers Really Thought about the Law,6,4
Clara Barton: Civil War Nurse,12,12
Face to Face: British Portraits in the Twentieth Century,2,1
Great Web Typography,2,10
Helen Fielding's Bridget Jones's Diary: A Reader's Guide,6,5
"The Warrior (Medieval Warriors Trilogy, #1)",3,1
Mis Primeras Palabras,9,10
Cassell's Dictionary of Norse Myth & Legend,5,5
Inner Hunger: A Young Woman's Struggle Through Anorexia and Bulimia,8,7
The Infinite Cosmos: Questions from the Frontiers of Cosmology,3,11
Bloody Bones Canyon/Renegade Seige,9,1
Apparitions in Late Medieval and Renaissance Spain,9,1
Girlfriendsâ€™ Getaway: A Complete Guide to the Weekend Adventure That Turns Friends into Sisters and Si,4,1
Theology from the Womb of Asia,12,1
La materia del deseo,11,10
The Art of the Bar: Cocktails Inspired by the Classics,10,2
Farming in Nature's Image: An Ecological Approach To Agriculture,12,2
"Dragon Search (Enchanted Forest Chronicles, #2)",7,3
"Mr Bligh's Bad Language: Passion, Power and Theatre on the Bounty",4,6
Building Blocks: Foundations for Learning for Young Blind and Visually Impaired Children/Peldanos Del Crecimiento : Bases Para El Aprendizaje De Nin,12,1
Pfeiffer's Classic Activities for Improving Interpersonal Communication,12,10
Contested Closets: The Politics and Ethics of Outing,9,1
Seven Verdi Librettos,10,1
Shenandoah Autumn: Courage Under Fire,11,9
The Story of Shaw's Saint Joan,5,1
Family Circle Easy Sweaters: 50 Knit and Crochet Projects,3,9
Tidings of Comfort & Joy,9,1
The Matter of Difference,7,1
Reconstructing Communicating: Looking To A Future,7,1
Elijah the Slave,12,2
Curious George Goes to the Dentist,10,4
If You're Clueless about Mutual Funds,4,1
The Directory of Saints: A Concise Guide To Patron Saints,5,12
Wedding Bouquets: Over 300 Designs for Every Bride,8,7
Straight out Man: Pastor F.W. Albrecht and Central Australian Aborigines,2,1
"Intermediate Accounting, Volume I: Chapters 1-12 and the Time Value of Money Module",1,8
Magill's Survey of World Literature 2 Christie-Gogol,1,1
This Sceptred Isle: The Dynasties: Britain's Most Powerful Families,2,1
The Witlings and the Woman-Hater,9,9
The Submerged Cathedral,1,10
Delta of Venus,1,12
The Musical Importance of Being Earnest,6,2
Peter Halley: Maintain Speed,3,4
Jesus for the Rest of Us,2,9
"Jeff Koons: anlaÌˆsslich der Ausstellung ""Jeff Koons"", 18. Juli bis 16. September 2001, Kunsthaus Bregenz",5,1
Defense for the Devil (Barbara Holloway #4),12,7
Abnormal Psychology in a Changing World,7,12
